[GIN] 2022/08/18 - 16:57:52 | 200 |     168.887µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:55 | 200 |      130.99µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:55 | 200 |     149.183µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:55 | 200 |     166.378µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:55 | 200 |     179.018µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:55 | 200 |     172.429µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:58 | 200 |     177.542µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:58 | 200 |      154.63µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:58:06 | 200 |    1.555104ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 16:58:06 | 200 |     485.894µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 16:58:06 | 200 |     716.905µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 16:58:09 | 200 |      145.52µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:58:09 | 200 |     961.625µs |    192.168.1.19 | GET      "/ws/msg?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:58:09 | 200 |     176.351µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:58:18 | 200 |    1.745914ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 16:58:18 | 200 |     514.407µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 16:58:18 | 200 |    1.079113ms |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 16:58:20 | 200 |     226.637µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:58:20 | 200 |     922.772µs |    192.168.1.19 | GET      "/ws/msg?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:58:20 | 200 |     168.275µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:58:25 | 200 |     2.01069ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 16:58:25 | 200 |     616.403µs |    192.168.1.19 | GET      "/ws/getUserList?uid=12"
[GIN] 2022/08/18 - 16:58:25 | 200 |     624.507µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=12"
[GIN] 2022/08/18 - 16:58:27 | 200 |     241.212µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:58:27 | 200 |     680.083µs |    192.168.1.19 | GET      "/ws/msg?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:58:27 | 200 |     187.429µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 17:02:05 | 200 |     760.068µs |    192.168.1.10 | POST     "/root/active"
[GIN] 2022/08/18 - 17:02:05 | 200 |     229.979µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:02:05 | 200 |     333.445µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:02:05 | 200 |     852.793µs |    192.168.1.10 | POST     "/root/active"
[GIN] 2022/08/18 - 17:02:05 | 200 |     311.793µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:02:05 | 200 |     379.626µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:02:05 | 200 |    1.020713ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:02:05 | 200 |     555.675µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
